Tape & Reel (TR),Cut Tape (CT),Digi-ReelÂ®
15000 for 131.25,1 for 0.08 10 for 0.11,1 for 0.08 10 for 0.11
10000 for 64.0 120000 for 759.6 240000 for 1435.2 250000 for 1490.0,1 for 0.08 10 for 0.09 50 for 0.36 100 for 0.56 500 for 2.78,1 for 0.08 10 for 0.09 50 for 0.36 100 for 0.56 500 for 2.78
3000 for 24.93,1 for 0.08 10 for 0.1,1 for 0.08 10 for 0.1
10000 for 24.0,1 for 0.08 10 for 0.08 50 for 0.28 100 for 0.32,1 for 0.08 10 for 0.08 50 for 0.28 100 for 0.32
4000 for 67.0,1 for 0.08 10 for 0.21,1 for 0.08 10 for 0.21
4000 for 198.32,1 for 0.08 10 for 0.61,1 for 0.08 10 for 0.61
10000 for 120.3,1 for 0.08 10 for 0.15,1 for 0.08 10 for 0.15
10000 for 75.9,1 for 0.08 10 for 0.17 50 for 0.52 100 for 0.93,1 for 0.08 10 for 0.17 50 for 0.52 100 for 0.93
10000 for 175.0,1 for 0.08 10 for 0.3 50 for 1.07,1 for 0.08 10 for 0.3 50 for 1.07
2000 for 62.4,1 for 0.08 10 for 0.35,1 for 0.08 10 for 0.35
4000 for 22.4 28000 for 154.0 40000 for 210.8 48000 for 247.68 96000 for 459.84 100000 for 477.0,1 for 0.08 10 for 0.05 50 for 0.22 100 for 0.4,1 for 0.08 10 for 0.05 50 for 0.22 100 for 0.4
10000 for 35.0,1 for 0.08 10 for 0.04,1 for 0.08 10 for 0.04
4000 for 21.0,1 for 0.08 10 for 0.16 50 for 0.52 100 for 0.72,1 for 0.08 10 for 0.16 50 for 0.52 100 for 0.72
10000 for 32.0,1 for 0.08 10 for 0.03,1 for 0.08 10 for 0.03
4000 for 33.56,1 for 0.08 10 for 0.1,1 for 0.08 10 for 0.1
4000 for 32.0 8000 for 37.2,1 for 0.08 10 for 0.09 50 for 0.4,1 for 0.08 10 for 0.09 50 for 0.4
10000 for 104.0 20000 for 200.0,1 for 0.08 10 for 0.41 50 for 1.24 100 for 1.68 500 for 6.4,1 for 0.08 10 for 0.41 50 for 1.24 100 for 1.68 500 for 6.4
4000 for 34.52,1 for 0.08 10 for 0.14 50 for 0.53,1 for 0.08 10 for 0.14 50 for 0.53
4000 for 116.52,1 for 0.08 10 for 0.5 50 for 1.78,1 for 0.08 10 for 0.5 50 for 1.78
15000 for 277.5,1 for 0.08 10 for 0.23,1 for 0.08 10 for 0.23
3000 for 84.6,1 for 0.08 10 for 0.41 50 for 1.73,1 for 0.08 10 for 0.41 50 for 1.73
10000 for 32.0 240000 for 744.0 250000 for 772.5,1 for 0.08 10 for 0.03,1 for 0.08 10 for 0.03
4000 for 31.52,1 for 0.08 10 for 0.1,1 for 0.08 10 for 0.1
4000 for 22.4 40000 for 218.4 48000 for 256.8 96000 for 477.12 100000 for 495.0,1 for 0.08 10 for 0.16 50 for 0.48 100 for 0.72 500 for 3.0 1000 for 5.6,1 for 0.08 10 for 0.16 50 for 0.48 100 for 0.72 500 for 3.0 1000 for 5.6
10000 for 32.0,1 for 0.08 10 for 0.04,1 for 0.08 10 for 0.04
4000 for 32.0 8000 for 60.8,1 for 0.08 10 for 0.08,1 for 0.08 10 for 0.08
4000 for 16.52,1 for 0.08 10 for 0.11 50 for 0.36 100 for 0.56,1 for 0.08 10 for 0.11 50 for 0.36 100 for 0.56
15000 for 81.75,1 for 0.08 10 for 0.14 50 for 0.4 100 for 0.72 500 for 3.21,1 for 0.08 10 for 0.14 50 for 0.4 100 for 0.72 500 for 3.21
2000 for 19.2 20000 for 184.6 24000 for 216.96 48000 for 403.2 50000 for 418.0,1 for 0.08 10 for 0.11 50 for 0.48 100 for 0.72,1 for 0.08 10 for 0.11 50 for 0.48 100 for 0.72
4000 for 76.8 8000 for 147.04 12000 for 210.6 20000 for 332.6 28000 for 450.52 40000 for 622.8 48000 for 735.84 96000 for 1392.96 100000 for 1446.0,1 for 0.08 10 for 0.22 50 for 0.76 100 for 1.37,1 for 0.08 10 for 0.22 50 for 0.76 100 for 1.37
10000 for 16.0,1 for 0.08 10 for 0.03,1 for 0.08 10 for 0.03
10000 for 68.8,1 for 0.08 10 for 0.08,1 for 0.08 10 for 0.08
10000 for 218.8,1 for 0.08 10 for 0.46 50 for 1.44 100 for 2.68,1 for 0.08 10 for 0.46 50 for 1.44 100 for 2.68
4000 for 115.2 8000 for 226.56 12000 for 326.16 20000 for 518.2 28000 for 704.48 40000 for 978.0 48000 for 1157.28 96000 for 2205.12 100000 for 2291.0,1 for 0.08 10 for 0.32 50 for 1.13,1 for 0.08 10 for 0.32 50 for 1.13
4000 for 19.0,1 for 0.08 10 for 0.09 50 for 0.32 100 for 0.58,1 for 0.08 10 for 0.09 50 for 0.32 100 for 0.58
2000 for 57.6 10000 for 277.9 14000 for 376.46 20000 for 520.2 24000 for 614.4 48000 for 1162.08 50000 for 1207.0,1 for 0.08 10 for 0.24 50 for 1.14,1 for 0.08 10 for 0.24 50 for 1.14
4000 for 22.4 48000 for 265.92 96000 for 494.4 100000 for 513.0,1 for 0.08 10 for 0.17 50 for 0.52 100 for 0.72 500 for 3.2,1 for 0.08 10 for 0.17 50 for 0.52 100 for 0.72 500 for 3.2
4000 for 20.48,1 for 0.08 10 for 0.09 50 for 0.32 100 for 0.6,1 for 0.08 10 for 0.09 50 for 0.32 100 for 0.6
3000 for 55.11,1 for 0.08 10 for 0.22,1 for 0.08 10 for 0.22
4000 for 19.76,1 for 0.08 10 for 0.06 50 for 0.3,1 for 0.08 10 for 0.06 50 for 0.3
4000 for 16.0,1 for 0.08 10 for 0.06 50 for 0.3,1 for 0.08 10 for 0.06 50 for 0.3
4000 for 37.32,1 for 0.08 10 for 0.19 50 for 0.64 100 for 1.14,1 for 0.08 10 for 0.19 50 for 0.64 100 for 1.14
2000 for 21.22,1 for 0.08 10 for 0.19 50 for 0.65,1 for 0.08 10 for 0.19 50 for 0.65
4000 for 19.2 40000 for 185.6 48000 for 217.92 96000 for 403.2 100000 for 419.0,1 for 0.08 10 for 0.04 50 for 0.17,1 for 0.08 10 for 0.04 50 for 0.17
10000 for 88.0 100000 for 859.0 120000 for 1015.2 240000 for 1924.8 250000 for 2000.0,1 for 0.08 10 for 0.18 100 for 1.2 1000 for 8.0 2500 for 19.2
10000 for 16.9,1 for 0.08 10 for 0.04 50 for 0.16,1 for 0.08 10 for 0.04 50 for 0.16
10000 for 112.5,1 for 0.08 10 for 0.14 50 for 0.69,1 for 0.08 10 for 0.14 50 for 0.69
10000 for 65.0,1 for 0.08 10 for 0.18 50 for 0.6 100 for 0.8,1 for 0.08 10 for 0.18 50 for 0.6 100 for 0.8
4000 for 62.0,1 for 0.08 10 for 0.19,1 for 0.08 10 for 0.19
4000 for 28.24,1 for 0.08 10 for 0.09 50 for 0.43,1 for 0.08 10 for 0.09 50 for 0.43
